code,total_score,trend,reversion,volume,close,stop_loss,rsi,mom_20,date,rsi_rank,mom_rank
sz.002823,0.829,0.8,0.0,1.0,17.04,16.05,71.18,-0.0081,2026-02-26,0.7955271565495208,0.28594249201277955
sz.301282,0.829,0.8,0.0,1.0,32.68,29.76,77.41,0.0666,2026-02-26,0.9233226837060703,0.6725239616613419
sh.603530,0.829,0.8,0.0,1.0,54.7,49.0,79.28,0.1472,2026-02-26,0.9488817891373802,0.8562300319488818
sz.300602,0.829,0.8,0.0,1.0,40.71,35.44,71.82,0.1938,2026-02-26,0.8099041533546326,0.9009584664536742
sh.603596,0.829,0.8,0.0,1.0,53.5,48.83,59.5,-0.0414,2026-02-26,0.3450479233226837,0.14376996805111822
sh.603693,0.829,0.8,0.0,1.0,13.04,12.38,65.8,0.0316,2026-02-26,0.5870607028753994,0.5199680511182109
sh.603678,0.829,0.8,0.0,1.0,43.5,38.8,67.57,0.0943,2026-02-26,0.6693290734824281,0.7531948881789138
sh.603859,0.829,0.8,0.0,1.0,48.88,43.51,57.39,-0.0135,2026-02-26,0.2795527156549521,0.2523961661341853
sh.603867,0.829,0.8,0.0,1.0,36.48,32.91,81.11,0.2438,2026-02-26,0.9648562300319489,0.9297124600638977
sh.605166,0.829,0.8,0.0,1.0,11.75,10.96,72.46,0.075,2026-02-26,0.8242811501597445,0.6996805111821086
sz.300292,0.829,0.8,0.0,1.0,4.97,4.63,62.2,0.0828,2026-02-26,0.44568690095846647,0.7220447284345048
sz.000792,0.829,0.8,0.0,1.0,39.01,35.29,78.62,0.1149,2026-02-26,0.9361022364217252,0.8003194888178914
sz.000811,0.829,0.8,0.0,1.0,20.6,18.53,76.56,0.2189,2026-02-26,0.9065495207667732,0.9169329073482428
sz.000922,0.829,0.8,0.0,1.0,15.78,14.33,67.44,0.0464,2026-02-26,0.6549520766773163,0.6038338658146964
sz.300631,0.829,0.8,0.0,1.0,31.81,28.93,69.74,0.0051,2026-02-26,0.755591054313099,0.34824281150159747
sh.603088,0.829,0.8,0.0,1.0,13.63,12.37,81.99,0.158,2026-02-26,0.9760383386581469,0.8690095846645367
sh.605258,0.829,0.8,0.0,1.0,36.31,34.11,79.13,0.0589,2026-02-26,0.9456869009584664,0.6533546325878594
sz.300272,0.829,0.8,0.0,1.0,7.94,7.39,64.57,0.0179,2026-02-26,0.5447284345047924,0.4217252396166134
sz.301099,0.786,0.5,0.0,1.0,47.37,42.38,51.91,-0.0577,2026-02-26,0.13578274760383385,0.09424920127795527
sh.603920,0.786,0.5,0.0,1.0,66.2,57.42,59.74,0.1081,2026-02-26,0.3514376996805112,0.7795527156549521
sz.002768,0.786,0.5,0.0,1.0,55.98,49.99,59.36,-0.051,2026-02-26,0.33706070287539935,0.11182108626198083
sh.600475,0.786,0.5,0.0,1.0,20.96,17.91,51.87,0.0053,2026-02-26,0.134185303514377,0.3498402555910543
sz.300776,0.786,0.5,0.0,1.0,92.21,77.99,59.23,0.1249,2026-02-26,0.33226837060702874,0.8242811501597445
sz.300498,0.786,0.5,0.0,1.0,15.63,14.88,45.92,-0.0045,2026-02-26,0.039936102236421724,0.3035143769968051
sz.000880,0.786,0.5,0.0,1.0,37.5,32.17,60.46,0.0199,2026-02-26,0.3801916932907348,0.43130990415335463
sz.002967,0.786,0.5,0.0,1.0,23.9,21.91,54.5,-0.0245,2026-02-26,0.19488817891373802,0.21006389776357828
sz.002394,0.786,0.5,0.0,1.0,14.24,12.97,47.44,-0.0594,2026-02-26,0.05830670926517572,0.0878594249201278
sz.002437,0.786,0.5,0.0,1.0,3.47,3.25,57.88,-0.0142,2026-02-26,0.2971246006389776,0.24680511182108625
sz.002017,0.786,0.5,0.0,1.0,22.92,20.55,48.2,-0.037,2026-02-26,0.07188498402555911,0.15415335463258786
sz.300129,0.786,0.5,0.0,1.0,14.3,12.22,56.98,-0.0874,2026-02-26,0.2539936102236422,0.039936102236421724
sz.300775,0.786,0.5,0.0,1.0,44.74,38.27,63.11,0.1329,2026-02-26,0.49201277955271566,0.8370607028753994
sh.600452,0.786,0.5,0.0,1.0,12.07,10.68,60.47,0.143,2026-02-26,0.3817891373801917,0.853035143769968
sh.603236,0.786,0.5,0.0,1.0,86.95,80.16,41.17,-0.0979,2026-02-26,0.012779552715654952,0.02875399361022364
