Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma_s,Exit_sma_s,Entry_sma_l,Exit_sma_l,Entry_macd_h,Exit_macd_h,Entry_rsi,Exit_rsi,Entry_bbl,Exit_bbl,Entry_bbu,Exit_bbu,Entry_obv,Exit_obv,Entry_atr,Exit_atr,Entry_vol_slope,Exit_vol_slope,Entry_mom_div,Exit_mom_div,entry_date,signal_type,buy_score,total_score,ai_prob,ai_threshold,expected_value_pct,market_state,market_uptrend,atr_pct,volume_ratio,mom_20,ai_model_type,ai_tier,ensemble_disagreement,is_win,atr_pct_est,ma_spread_pct,price_vs_sma_l_pct,bb_pos,vol_slope_pos
30956,429,431,2.97387876,3.02998968,,,1551.113888091362,185.85575142864,0.01684905660377358,2025-06-05,2025-06-09,4 days,,2.9725427857142854,2.988574477142856,2.9300102225454543,2.933750950545454,0.0005926236092516236,0.00228361082630497,56.25890634312847,71.93136844267518,2.924830959694317,2.923120007251081,2.9948711003056827,3.010609782748918,3313151160.0,3456569193.0,0.0352474095768631,0.03487801374166969,-0.07382198218719961,0.09697902379859508,0.0,-0.0194697887768287,2025-06-05,布林带极度下杀反弹 (左侧),0.3916,0.561,0.6981,0.45,0.918,sideways_low_vol,True,1.185,1.38,0.0095,lgbm,high,,True,1.1852335761281372,1.4516182517575267,1.497214484679669,0.7002812940915722,False
28389,439,440,2.97026499,2.960397,,,-448.5079313441114,168.36556323411,-0.005318936877076434,2025-06-19,2025-06-20,1 days,,3.015302228571428,3.002688468571428,2.947014583636364,2.9476196261818184,-0.0012481610396084496,-0.0029389295487242256,41.32182095777398,38.60226460608966,2.927114855158325,2.927808922155235,3.052444638841674,3.0522727598447648,3296147268.0,3259610841.0,0.03898111353708899,0.03819968490899825,-0.11685596724053177,-0.07560140908459223,-0.011899583510841638,-0.008852784228935429,2025-06-19,布林带极度下杀反弹 (左侧),0.4478,0.686,0.6528,0.45,0.83,sideways_low_vol,False,1.312,1.88,0.0051,lgbm,high,,False,1.3123783119798005,2.3171804209670084,0.7889477877963893,0.3442927417053201,False
28956,445,449,2.99986896,3.00973695,,,111.72336971004137,174.01414872996003,0.001286184210526409,2025-06-27,2025-07-03,6 days,,2.984362118571428,3.005507811428571,2.955045824727273,2.9640867958181825,-0.002259517458872576,-0.0012092481263495563,52.663610054061664,54.67289562967325,2.952824695023272,2.9590579029147337,3.0484622569767272,3.050806382085266,3279721168.0,3284437658.0,0.03806265174402436,0.03538743679129339,0.0028146006813060402,-0.09523141115344301,0.016502725121055994,-0.0033552617104135596,2025-06-27,布林带极度下杀反弹 (左侧),0.7793,1.139,0.6842,0.45,0.935,sideways_low_vol,True,1.269,1.69,0.0056,lgbm,high,,True,1.268810479775902,0.9920757776018925,1.5168338473013059,0.4919015501422298,True
14744,469,470,3.03934092,3.04920891,,,55.724065866480714,89.76957869352,0.0012435064935065222,2025-07-31,2025-08-01,1 days,,3.0985488599999997,3.0886808699999997,3.0191728874545456,3.0207125596363635,-0.0013466443930432396,-0.0029196590460078397,41.50121223312099,44.235371035519556,3.010640903395387,3.0152586835532484,3.1390904646046125,3.1374330814467517,3439826337.0,3504762057.0,0.04489536024851438,0.04362107772780486,0.13629010986313375,0.055973867236486355,-0.015974440894568787,-0.015923566878981,2025-07-31,布林带极度下杀反弹 (左侧),0.2416,0.833,0.4834,0.4,0.083,weak_bull,True,1.477,1.8,0.0065,lgbm,medium,,True,1.477141308929384,2.6290635052825926,0.6679985975383442,0.223434135036591,True
16743,475,482,3.06894489,3.08868087,,,227.34238504032163,103.09712809967999,0.004424437299035305,2025-08-08,2025-08-19,11 days,,3.0520283357142857,3.077403167142857,3.0289491745454544,3.043995372181819,-0.004599133401544575,-0.0007392391422809085,51.26165079000075,56.76819628616182,3.0155161649898754,3.0296615688276596,3.1371756000101247,3.1259905931723413,3502666916.0,3514977862.0,0.039556147287449814,0.037851672056159705,-0.013289220734435966,-0.00179882067153098,0.01592421915002551,-0.003246551187636282,2025-08-08,布林带极度下杀反弹 (左侧),0.4635,1.581,0.4887,0.4,0.071,weak_bull,True,1.289,1.59,-0.0032,lgbm,medium,,True,1.2889168331546617,0.761952738024885,1.3204485499677507,0.43916630881305513,False
13559,493,494,3.08868087,3.12815283,,,450.9062575016966,84.29404813830001,0.01076677316293924,2025-09-03,2025-09-04,1 days,,3.1126459885714284,3.105597424285714,3.064818276,3.067688964,-0.0012575915434968402,-0.0007732156707807337,46.767182444028975,55.56249029063956,3.0399711720283533,3.0464600223032705,3.1561397489716474,3.157545290696729,3941011606.0,4072550382.0,0.04894269541258508,0.05062046496153631,0.03325334741921922,0.06726262093736708,0.0031847133757961776,0.006389583165363089,2025-09-03,布林带极度下杀反弹 (左侧),0.175,0.561,0.5198,0.4,0.306,weak_bull,True,1.585,0.6,0.0129,lgbm,medium,,True,1.5845824632761452,1.5605399167042937,0.7785973539398238,0.4193018392178783,True
13725,499,500,3.10841685,3.11828484,,,49.976682054750654,85.46148069525,0.0011714285714285598,2025-09-11,2025-09-12,1 days,,3.0985488599999997,3.1027779985714283,3.0777363719999995,3.0798893879999993,-0.002649951607823978,-0.001959155773650483,51.99336126068089,54.257392055158725,3.065680282519142,3.066774907494581,3.153127015480858,3.154005988505419,4083085808.0,4228664372.0,0.04855075926512816,0.049438857659700804,-0.11484348084087531,0.10239235491120503,0.0031847133757960666,-0.0032152377851488723,2025-09-11,布林带极度下杀反弹 (左侧),0.3761,1.309,0.4789,0.35,0.075,strong_bull,True,1.562,1.33,0.0032,lgbm,medium,,True,1.5619127552061804,0.6762271190392991,0.996852046169999,0.4887154274770664,False
10394,513,520,3.22683273,3.26630469,,,342.78188189652207,67.48967034348,0.010220183486238607,2025-10-09,2025-10-20,11 days,,3.156347087142857,3.2733532542857144,3.1125434640000003,3.1344324599999998,1.4556774641322212e-05,0.005726191447394443,61.61595697521916,61.90393496085438,3.0557377249456703,3.0994787071021617,3.2430002920543295,3.3186619888978384,4352608814.0,4664256558.0,0.06413720758987808,0.06521668771729805,0.12981322488668212,-0.11830704399232743,0.04309638792397408,-0.040629603051705265,2025-10-09,均线放量金叉 (右侧),0.2857,0.85,0.5601,0.4,0.715,weak_bull,True,1.988,1.94,0.0315,lgbm,medium,,True,1.9876210809935002,1.407325669488447,3.6718930136038628,0.9136636739314359,True
13063,545,546,2.98013298,2.97026499,,,-206.63560205211064,77.73004868211001,-0.005307947019867566,2025-11-24,2025-11-25,1 days,,3.075993454285714,3.0477991971428566,3.173366165999999,3.1710337319999997,-0.013880505407686242,-0.014914077126597503,16.651118803357612,15.921658191407014,3.0175152597559105,2.995490986899558,3.266420772244089,3.259827874100443,4150053197.0,4074434057.0,0.051191495408102916,0.04939253495742768,0.032321216523009594,0.04873952585607642,0.021240253998874636,0.02396663780319086,2025-11-24,布林带极度下杀反弹 (左侧),0.1501,0.51,0.4904,0.45,0.172,sideways_low_vol,False,1.718,0.84,-0.0848,lgbm,medium,,False,1.7177587628355737,-3.0684360587679285,-6.089218069768732,-0.15018662858134113,True
17558,562,565,2.97026499,2.98013298,,,68.78508086274084,104.47708755726,0.0013189368770763227,2025-12-17,2025-12-22,5 days,,2.9603969999999995,2.9688552771428567,3.1224114540000003,3.1136199720000004,0.0016023242900384538,0.004777897229389989,41.624843416395805,46.56604103668438,2.9280851969022827,2.944256522988232,3.035141160097717,3.006141447011768,4103117411.0,4078673765.0,0.03801372354305585,0.0361444386665552,-0.09652069359366389,-0.021659354854972654,0.016557384263333974,0.006622589169215876,2025-12-17,布林带极度下杀反弹 (左侧),0.2244,0.616,0.6072,0.45,0.6,sideways_low_vol,False,1.28,1.03,-0.0383,lgbm,medium,,True,1.2798091642003917,-5.188760558524417,-4.872723093719483,0.3939976049789637,False
20160,568,569,2.99000097,2.99000097,,,-120.5568391104,120.5568391104,-0.002,2025-12-25,2025-12-26,1 days,,2.9801329799999996,2.9829524057142853,3.103393146,3.0985488599999997,0.0063097848732478895,0.006635136080440265,50.139984071080924,50.139984071080924,2.944849078429219,2.944938231034657,3.0085092885707807,3.0094069349653436,4099498582.0,4099498582.0,0.03312847604466725,0.032012434707611656,-0.1519422968120934,-0.06453353958489506,-0.01689076192387473,-0.006733408148979381,2025-12-25,布林带极度下杀反弹 (左侧),0.1054,0.335,0.5243,0.45,0.171,sideways_low_vol,True,1.108,0.62,0.0033,lgbm,medium,,False,1.1079754280035319,-3.9717870150893395,-3.6538127999075005,0.7092639416422979,False
22311,572,573,2.960397,2.99986896,,,747.6794057264443,132.97949383356,0.011320000000000085,2025-12-31,2026-01-05,5 days,,2.975903841428571,2.9801329799999996,3.081324732,3.07612161,0.004916290401703924,0.0057901799254816075,40.60572359174267,55.52211806362415,2.941888681429218,2.941350929294516,3.005548891570782,3.007073442705484,4021942781.0,4083743902.0,0.0298829637996708,0.030682046816364918,0.0428158966269305,0.08767200841558916,-0.0065787309627972634,-0.003366555924695591,2025-12-31,布林带极度下杀反弹 (左侧),0.0603,0.165,0.6087,0.45,0.436,sideways_low_vol,True,1.009,1.18,-0.0099,lgbm,medium,,True,1.009424202215811,-3.421284666189773,-3.9245370909514437,0.2907360583577108,True
22068,576,580,2.99000097,3.01,,,308.9305726340333,132.40802140596,0.004681947989468219,2026-01-08,2026-01-14,6 days,,2.984362118571428,3.0128009828571427,3.0612299160000003,3.041166231818181,0.0065047076709184495,0.007304566421761872,50.6715407596501,53.92973849575027,2.9400474044920903,2.9477295342634555,3.0113373645079102,3.0304700327365444,4030049525.0,4030755647.0,0.030434363658901377,0.03210639599054658,0.0569553447949709,0.19324152282904913,-0.009933991956635801,-0.01668885594494518,2026-01-08,布林带极度下杀反弹 (左侧),0.0551,0.165,0.5568,0.45,0.257,sideways_low_vol,True,1.018,1.03,0.0066,lgbm,medium,,True,1.0178713640651889,-2.511010265083666,-2.3268081115930195,0.7007096861440881,True
15610,593,597,3.04,3.06,,,216.97900000000027,95.221,0.004572368421052597,2026-02-02,2026-02-06,4 days,,3.077142857142857,3.0757142857142856,3.013213392909091,3.0104266407272724,0.00401692546281476,0.001608198569607911,47.37605383141056,50.458119724601964,2.9812407134657466,3.0030779468559325,3.1047199745342535,3.1119220531440677,4084393381.0,4128178646.0,0.04314498560650559,0.04652226727743287,0.11111817653691296,-0.1080983572146708,-0.019609529543304416,0.0,2026-02-02,布林带极度下杀反弹 (左侧),0.1965,0.637,0.5142,0.4,0.226,weak_bull,False,1.419,1.19,0.0101,lgbm,medium,,True,1.4192429475824209,2.121637464648517,0.8889714599684586,0.4758636067772829,True
15878,601,602,3.04,3.02,,,-413.7806800000003,96.22068,-0.008572368421052596,2026-02-12,2026-02-13,1 days,,3.0728571428571425,3.0628571428571427,3.014809408,3.0157136809090908,-0.0010891748974673193,-0.002875620266233534,44.29589204704187,40.093234726869866,3.022838443765835,3.028241991643446,3.112161556234165,3.1087580083565545,4107423873.0,4038174593.0,0.04249915679055235,0.042290893724672984,-0.028782317980417336,0.04284483304863866,0.003173608936214767,0.003193874529379581,2026-02-12,布林带极度下杀反弹 (左侧),0.1411,0.49,0.4799,0.4,0.051,weak_bull,True,1.398,1.74,0.0133,lgbm,medium,,False,1.3979985786365903,1.9254197198373089,0.8355616754132126,0.19212895475680913,False
